Accession	Gene_Family	Sp	mentioned_miRNA	Pollutant	Observed_Specie	Type	Observerd_effect	Reference	Reference_Rank_score
MI0000064	let-7	hsa-	let-7c	Phenols	Homo sapiens	In vivo (follicular fluid)	altered in women with a high urinary concentrations of phenols and phthalate metabolites	Martinez RM, Hauser R, Liang L, Mansur A, Adir M, Dioni L, et al. Urinary concentrations of phenols and phthalate metabolites reflect extracellular vesicle microRNA expression in follicular fluid. Environment International [Internet]. Elsevier BV; 2019 Feb;123:20–8. Available from: http://dx.doi.org/10.1016/j.envint.2018.11.043	1
MIMAT0000523	let-7	mmu-	let-7c-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MI0000065	let-7	hsa-	let-7d	Benzene	Homo sapiens	in vivo (plasma)	differential regulated in chronic benzene poisoning	Bai W, Chen Y, Yang J, Niu P, Tian L, Gao A. Aberrant miRNA profiles associated with chronic benzene poisoning. Experimental and Molecular Pathology [Internet]. Elsevier BV; 2014 Jun;96(3):426–30. Available from: http://dx.doi.org/10.1016/j.yexmp.2014.04.011	1,03
MI0000065	let-7	hsa-	let-7d	Mercury	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
MIMAT0000563	let-7	rno-	let-7d-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (kidney)	significatively downregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
MIMAT0000384	let-7	mmu-	let-7d-3p	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	down-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000383	let-7	mmu-	let-7d-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0000562	let-7	rno-	let-7d-5p	Ketones	Rattus norvegicus domestica (Sprague Dawley)	in vitro (Rat Mesenchymal Stem Cells-bone marrow)	overexpressed  in exosomes after phosgene exposure	Xu N, He D, Shao Y, Qu Y, Ye K, Memet O, et al. Lung-derived exosomes in phosgene-induced acute lung injury regulate the functions of mesenchymal stem cells partially via miR-28-5p. Biomedicine & Pharmacotherapy [Internet]. Elsevier BV; 2020 Jan;121:109603. Available from: http://dx.doi.org/10.1016/j.biopha.2019.109603	1
MI0000066	let-7	hsa-	let-7e	Arsenic	Homo sapiens	in vivo (skin lessions biopsies)	Differential expression in malignant lesions associated to arsenic)	Al-Eryani L, Jenkins SF, States VA, Pan J, Malone JC, Rai SN, et al. miRNA expression profiles of premalignant and malignant arsenic-induced skin lesions. Ahmad A, editor. PLOS ONE [Internet]. Public Library of Science (PLoS); 2018 Aug 16;13(8):e0202579. Available from: http://dx.doi.org/10.1371/journal.pone.0202579	1
MIMAT0004706	let-7	rno-	let-7e-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000066	let-7	hsa-	let-7e-5p	Mercury	Homo sapiens	in vivo (plasma)	downregulated in exposed workers on plasma microarrays	Ding E, Zhao Q, Bai Y, Xu M, Pan L, Liu Q, et al. Plasma microRNAs expression profile in female workers occupationally exposed to mercury. Journal of Thoracic Disease [Internet]. AME Publishing Company; 2016 May;8(5):833–41. Available from: http://dx.doi.org/10.21037/jtd.2016.03.36	1
MIMAT0000524	let-7	mmu-	let-7e-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
NA	NA	hsa-	let-7f	Lead	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
MI0000433	let-7	hsa-	let-7g	Mercury	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
MI0026428	let-7	ssa-	let-7h	Aluminium	Salmo salar	in vivo (muscle tissue)	up-regulated miRNA in muscle tissue of exposed animals	Kure EH, Sæbø M, Stangeland AM, Hamfjord J, Hytterød S, Heggenes J, et al. Molecular responses to toxicological stressors: Profiling microRNAs in wild Atlantic salmon (Salmo salar) exposed to acidic aluminum-rich water. Aquatic Toxicology [Internet]. Elsevier BV; 2013 Aug;138-139:98–104. Available from: http://dx.doi.org/10.1016/j.aquatox.2013.04.004	1,02
MI0000434	let-7	hsa-	let-7i	Mercury	Homo sapiens	in vivo (Placenta)	Downregulated in exposed mothers	Li, Q., Kappil, M. A., Li, A., Dassanayake, P. S., Darrah, T. H., Friedman, A. E., Friedman, M., Lambertini, L., Landrigan, P., Stodgell, C. J., Xia, Y., Nanes, J. A., Aagaard, K. M., Schadt, E. E., Murray, J. C., Clark, E. B., Dole, N., Culhane, J., Swanson, J., Varner, M., … Chen, J. (2015). Exploring the associations between microRNA expression profiles and environmental pollutants in human placenta from the National Children's Study (NCS). Epigenetics, 10(9), 793–802. https://doi.org/10.1080/15592294.2015.1066960	1,03
MIMAT0004520	let-7	mmu-	let-7i-3p	Benzene	Mus musculus	in vivo (C57BL/6J mice’s Lin− HSCs) bone marrow	 	Wei H, Zhang J, Tan K, Sun R, Yin L, Pu Y. Benzene-Induced Aberrant miRNA Expression Profile in Hematopoietic Progenitor Cells in C57BL/6 Mice. International Journal of Molecular Sciences [Internet]. MDPI AG; 2015 Nov 12;16(11):27058–71. Available from: http://dx.doi.org/10.3390/ijms161126001	1
MIMAT0000779	let-7	rno-	let-7i-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	bbe-	miR-1	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0000105	mir-1	dme-	miR-1-3p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
NA	NA	ccr-	miR-1-3p	Cadmium	Cyprinus carpio	in vivo (spleen)	up-regulated after exposure	Chen J, Zhang S, Tong J, Teng X, Zhang Z, Li S, et al. Whole transcriptome-based miRNA-mRNA network analysis revealed the mechanism of inflammation-immunosuppressive damage caused by cadmium in common carp spleens. Science of The Total Environment [Internet]. Elsevier BV; 2020 May;717:137081. Available from: http://dx.doi.org/10.1016/j.scitotenv.2020.137081	1
MIMAT0003125	mir-1	rno-	miR-1-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (kidney)	significatively downregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
NA	NA	mmu-	miR-10	Arsenic+Cadmium+lead	Mus musculus	in vitro (Balb/3T3 A31-1-1) fibroblast	upregulated after exposure	Martínez-Pacheco M, Hidalgo-Miranda A, Romero-Córdoba S, Valverde M, Rojas E. mRNA and miRNA expression patterns associated to pathways linked to metal mixture health effects. Gene [Internet]. Elsevier BV; 2014 Jan;533(2):508–14. Available from: http://dx.doi.org/10.1016/j.gene.2013.09.049	1,01
MIMAT0012531	mir-10	dme-	miR-10-3p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
MIMAT0000115	mir-10	dme-	miR-10-5p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
NA	NA	ccr-	miR-10-5p	Cadmium	Cyprinus carpio	in vivo (spleen)	up-regulated after exposure	Chen J, Zhang S, Tong J, Teng X, Zhang Z, Li S, et al. Whole transcriptome-based miRNA-mRNA network analysis revealed the mechanism of inflammation-immunosuppressive damage caused by cadmium in common carp spleens. Science of The Total Environment [Internet]. Elsevier BV; 2020 May;717:137081. Available from: http://dx.doi.org/10.1016/j.scitotenv.2020.137081	1
NA	NA	bbe-	miR-100	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0000822	mir-10	rno-	miR-100-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000655	mir-10	mmu-	miR-100-5p	Benzene	Mus musculus	in vivo (C57BL/6J mice’s Lin− HSCs) bone marrow	involved in leukemia, and have important role in the regulation of hematopoiesis	Wei H, Zhang J, Tan K, Sun R, Yin L, Pu Y. Benzene-Induced Aberrant miRNA Expression Profile in Hematopoietic Progenitor Cells in C57BL/6 Mice. International Journal of Molecular Sciences [Internet]. MDPI AG; 2015 Nov 12;16(11):27058–71. Available from: http://dx.doi.org/10.3390/ijms161126001	1
MIMAT0031570	mir-10	bbe-	miR-100-5p	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	DOWN in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0005483	mir-1002	dme-	miR-1002-5p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
NA	NA	hsa-	miR-101	Sulfides	Homo sapiens	in vivo (plasma)	strongly up regulated in plasma of workers with damaged nerve fibers	GUO L, LUO C, FAN J, HOU Z, JI X, CHEN F, et al. Serum miRNA profiling identifies miR-150/30a as potential biomarker for workers with damaged nerve fibers from carbon disulfide. INDUSTRIAL HEALTH [Internet]. National Institute of Industrial Health; 2015;53(1):38–47. Available from: http://dx.doi.org/10.2486/indhealth.2014-0120	1
MIMAT0000099	mir-101	hsa-	miR-101-3p	Chromium	Homo sapiens	in vivo (plasma)	downregulated in exposed workers	Li Y, Li P, Yu S, Zhang J, Wang T, Jia G. miR-3940-5p associated with genetic damage in workers exposed to hexavalent chromium. Toxicology Letters [Internet]. Elsevier BV; 2014 Aug;229(1):319–26. Available from: http://dx.doi.org/10.1016/j.toxlet.2014.06.033	1
NA	NA	mmu-	miR-101-3p	Arsenic+Cadmium+lead	Mus musculus	in vitro (Balb/3T3 A31-1-1) fibroblast	upregulated after exposure	Martínez-Pacheco M, Hidalgo-Miranda A, Romero-Córdoba S, Valverde M, Rojas E. mRNA and miRNA expression patterns associated to pathways linked to metal mixture health effects. Gene [Internet]. Elsevier BV; 2014 Jan;533(2):508–14. Available from: http://dx.doi.org/10.1016/j.gene.2013.09.049	1,01
NA	NA	mmu-	miR-101a	Arsenic+Cadmium+lead	Mus musculus	in vitro (Balb/3T3 A31-1-1) fibroblast	upregulated after exposure	Martínez-Pacheco M, Hidalgo-Miranda A, Romero-Córdoba S, Valverde M, Rojas E. mRNA and miRNA expression patterns associated to pathways linked to metal mixture health effects. Gene [Internet]. Elsevier BV; 2014 Jan;533(2):508–14. Available from: http://dx.doi.org/10.1016/j.gene.2013.09.049	1,01
MIMAT0000133	mir-101	mmu-	miR-101a-3p	Ketones	Mus musculus	Developmental biology (brain)	down  regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0000615	mir-101	rno-	miR-101b-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000616	mir-101	mmu-	miR-101b-3p	Arsenic+Cadmium+lead	Mus musculus	in vitro (Balb/3T3 A31-1-1) fibroblast	upregulated after exposure	Martínez-Pacheco M, Hidalgo-Miranda A, Romero-Córdoba S, Valverde M, Rojas E. mRNA and miRNA expression patterns associated to pathways linked to metal mixture health effects. Gene [Internet]. Elsevier BV; 2014 Jan;533(2):508–14. Available from: http://dx.doi.org/10.1016/j.gene.2013.09.049	1,01
NA	NA	bbe-	miR-102	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
NA	NA	bbe-	miR-103	Benzo(a)pyrene	Branchiostoma belcheri	in vivo (whole body)	UP in whole body arrays after exposure	Zhang Q-L, Dong Z-X, Xiong Y, Li H-W, Guo J, Wang F, et al. Genome-wide transcriptional response of microRNAs to the benzo(a)pyrene stress in amphioxus Branchiostoma belcheri. Chemosphere [Internet]. Elsevier BV; 2019 Mar;218:205–10. Available from: http://dx.doi.org/10.1016/j.chemosphere.2018.11.119	0
MIMAT0017114	mir-103	rno-	miR-103-1-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000824	mir-103	rno-	miR-103-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	ccr-	miR-103-5p	Cadmium	Cyprinus carpio	in vivo (spleen)	down-regulated after exposure	Chen J, Zhang S, Tong J, Teng X, Zhang Z, Li S, et al. Whole transcriptome-based miRNA-mRNA network analysis revealed the mechanism of inflammation-immunosuppressive damage caused by cadmium in common carp spleens. Science of The Total Environment [Internet]. Elsevier BV; 2020 May;717:137081. Available from: http://dx.doi.org/10.1016/j.scitotenv.2020.137081	1
